size_sqft,bedrooms,floors,age,price_1000s
2082,3,1,4,510.09
1382,4,3,85,317.13
2441,3,2,0,598.23
1186,1,1,6,355.62
1745,2,2,0,474.49
1935,2,1,30,369.85
1475,3,3,5,442.97
960,3,2,60,244.55
1298,1,2,0,388.74
2427,3,3,4,593.07
1426,4,2,48,340.51
1677,2,2,1,470.16
1127,3,2,10,366.24
1528,3,1,64,314.46
1930,2,2,36,357.07
1693,1,1,100,283.52
2163,2,2,96,360.81
1052,2,1,22,277.55
2740,2,1,1,627.82
1093,5,1,26,321.05
1647,2,1,21,339.58
2646,2,2,1,573.1
1788,3,1,8,459.37
2888,4,1,3,636.09
2102,3,2,16,486.14
1800,3,1,18,402.07
1803,1,2,45,338.94
1683,4,2,25,433.13
1992,3,3,39,387.36
1680,1,2,50,299.71
2289,2,1,8,499.79
2280,4,2,1,598.84
2305,4,1,60,419.02
1235,2,2,0,411.16
2332,2,1,15,456.11
2527,3,1,58,416.0
2231,2,2,0,532.62
1479,3,3,16,393.09
2161,2,1,60,317.2
2868,2,1,26,497.69
1468,3,2,29,351.21
1558,4,2,31,367.19
1971,1,2,7,403.94
1862,3,2,10,458.78
500,1,1,68,197.56
2495,2,3,10,538.58
2291,2,3,24,445.87
500,5,2,2,356.11
1375,4,1,2,451.66
1302,2,1,8,413.98
1855,3,1,6,471.92
1155,1,2,20,300.78
1747,5,2,38,387.27
1562,2,2,16,382.03
2277,2,1,0,549.72
1711,4,1,49,317.64
2217,2,1,51,387.43
1624,3,2,7,448.74
1771,2,1,0,449.42
1293,3,2,23,304.81
1943,3,3,0,559.69
1533,3,2,6,436.02
2102,2,1,51,352.72
2053,2,2,50,346.73
1432,3,1,37,333.56
2731,4,1,0,645.97
2942,4,1,4,642.96
2945,4,1,13,584.77
1995,3,1,2,513.9
2605,5,1,1,620.87
2496,3,1,31,421.62
1974,4,1,0,542.29
2580,5,2,10,590.99
2811,5,1,13,606.99
2542,2,1,12,477.69
1996,2,2,5,511.88
1421,3,1,45,255.64
1564,2,1,5,429.19
1400,4,2,13,427.47
1997,2,2,19,434.26
1498,5,2,0,502.37
2390,3,2,40,419.02
2400,1,1,64,355.34
1963,2,1,8,454.68
2822,4,1,5,667.5
1608,3,3,11,450.47
2116,2,3,29,389.85
1518,1,1,4,382.98
1916,4,2,11,464.41
2240,4,3,47,382.07
2591,4,2,37,482.86
950,4,1,18,297.04
1159,3,1,25,332.73
3510,2,1,53,473.28
1569,4,2,2,485.77
1492,5,2,87,321.97
985,3,2,34,282.26
1200,5,1,9,371.66
2574,4,2,6,617.38
1663,2,2,32,343.34
1618,5,1,4,473.1
1890,4,1,1,529.22
1731,3,1,14,383.02
1428,2,1,91,263.61
1703,2,1,5,442.19
2227,3,1,1,539.67
2618,3,1,34,448.54
2191,4,1,7,492.59
2044,5,1,84,370.94
3033,3,2,12,604.48
1236,4,1,11,380.69
2517,3,3,63,384.47
1676,2,2,53,322.0
2933,2,2,7,636.53
1645,4,1,22,411.47
2628,5,2,24,535.18
1530,5,1,28,375.15
2435,3,2,21,485.9
1890,1,1,7,426.92
1524,4,1,17,414.33
1650,4,3,7,472.98
2257,1,1,13,465.33
1363,4,2,39,352.21
3045,3,1,11,628.8
2498,2,3,27,457.12
2177,4,1,38,430.1
2047,3,1,6,477.28
981,4,2,2,432.38
2454,5,2,7,598.54
2525,2,2,7,572.84
1248,4,1,1,458.13
2052,3,3,1,523.87
2393,3,1,8,525.85
1483,3,1,13,365.19
2339,3,2,2,565.45
3183,5,1,8,665.69
3165,3,2,49,467.2
1237,3,1,2,399.82
1644,3,1,7,449.18
2124,2,1,100,314.79
1691,4,2,15,409.91
2963,4,1,27,541.78
2748,4,1,27,487.62
1590,2,2,0,450.73
2260,3,1,78,335.08
500,1,1,13,251.13
1665,3,1,7,401.34
2626,3,2,66,397.92
2198,2,1,43,354.33
2527,2,2,17,488.6
2560,1,1,22,444.68
1784,3,1,24,341.73
1975,2,1,45,357.57
2349,2,2,80,370.45
2199,2,3,57,367.73
1430,4,1,18,368.97
2766,5,1,10,623.47
1633,3,2,67,315.04
1735,4,1,0,494.78
849,1,1,22,239.99
3795,4,2,11,739.37
908,3,2,2,372.08
2709,2,1,50,426.39
2126,3,1,52,359.99
2182,3,2,13,482.0
2094,2,1,25,388.53
1504,1,2,12,366.44
1843,4,2,2,537.65
1961,1,2,9,434.19
1987,2,1,47,323.8
1491,4,2,17,412.41
2585,2,2,34,458.26
1509,2,1,29,292.15
2910,3,2,8,602.87
1466,3,2,4,420.03
2014,3,1,6,471.05
2701,3,3,34,517.06
2884,4,1,32,493.25
1819,3,2,16,395.79
500,3,1,37,204.91
2406,4,3,1,621.48
941,5,1,8,356.92
2049,3,2,49,375.93
1745,3,2,100,301.92
1724,2,1,40,317.96
1756,3,1,21,393.48
2317,2,1,2,566.03
1825,2,1,17,376.07
1944,2,1,10,454.4
2119,3,1,35,365.07
1913,2,2,65,319.53
2550,4,2,0,647.05
2880,2,2,12,546.29
2680,3,1,21,469.21
2175,3,1,1,532.85
2006,4,2,13,503.19
1739,1,1,4,429.96
2004,3,1,43,395.19
1683,2,2,18,365.2
1631,4,2,4,497.09
1366,3,2,2,419.97
2243,3,3,99,367.72
1020,2,2,15,296.99
1479,3,1,86,248.76
2390,2,2,24,451.0
2137,3,2,26,419.13
2797,4,2,6,647.63
3201,4,1,75,473.22
2779,4,1,88,410.11
1750,2,1,6,448.4
2788,3,2,2,650.71
1940,2,2,54,348.57
2755,3,1,8,562.65
1528,5,2,31,412.26
2056,1,2,45,366.67
1892,3,2,45,343.39
2681,3,3,28,468.22
1639,2,1,51,298.47
1747,1,3,3,448.19
1643,5,2,45,344.05
2066,1,1,31,383.98
2093,4,2,1,553.58
2577,3,2,1,615.46
2626,5,3,26,511.05
2205,4,3,39,434.55
841,1,3,13,292.75
2453,4,1,19,508.13
1829,2,1,14,422.47
2403,2,1,30,451.68
1435,2,1,0,424.03
800,3,1,7,340.22
2617,4,2,13,565.16
1974,4,1,6,498.8
2196,3,3,25,416.34
2794,2,1,46,459.8
2800,3,1,12,580.3
1327,4,2,46,375.48
1356,4,2,100,221.92
3351,3,2,22,637.2
1971,3,2,40,375.06
1795,4,2,48,353.98
2177,2,1,2,508.7
1166,5,1,3,444.45
1800,3,2,58,348.8
2809,4,2,26,526.8
1732,1,1,21,364.1
3844,2,2,27,609.11
1219,3,1,15,323.26
1071,3,2,7,336.95
1799,3,1,2,492.64
2001,4,1,1,546.45
2620,4,1,28,512.91
2644,4,1,22,498.1
3408,2,2,22,565.11
1544,3,3,6,450.26
1703,4,2,13,451.98
3211,3,2,19,618.69
2221,2,1,7,482.66
1704,4,2,16,429.68
1679,4,2,15,423.23
1654,4,3,40,391.76
1423,3,2,40,286.08
1847,2,1,2,474.83
1954,2,2,6,485.82
3117,4,3,23,573.17
2136,1,1,2,511.27
1646,3,2,0,490.31
2509,4,1,18,542.28
2531,3,1,100,351.11
2294,3,2,78,362.35
1289,2,1,0,420.05
2620,4,1,3,620.2
2344,5,1,87,357.07
1896,3,1,12,421.41
1321,4,2,13,402.01
2355,2,2,23,459.26
2423,4,3,40,450.11
1848,3,1,6,449.82
1530,3,3,53,303.95
871,2,2,72,215.85
1850,5,1,16,450.25
1291,5,1,8,437.7
1972,3,1,16,440.78
2682,3,1,40,469.4
1583,3,3,30,365.38
2481,3,1,2,578.9
2438,3,1,0,597.98
2443,3,1,72,381.9
1613,1,1,19,377.73
2967,2,1,12,558.46
2172,3,1,6,505.98
3547,2,2,42,542.29
837,2,1,60,225.03
1318,3,2,14,366.07
2981,3,2,26,536.76
1928,4,2,34,434.08
1980,3,2,0,526.68
2718,2,2,30,469.52
2010,4,1,17,473.15
2174,4,3,1,627.84
1760,4,1,13,418.96
2243,2,1,1,539.48
2715,5,1,34,494.49
2655,3,1,1,639.71
3121,3,2,5,628.32
2805,4,1,18,554.51
1284,2,1,10,372.04
1975,3,1,4,482.8
1596,2,1,3,436.39
1587,2,1,17,391.04
3348,4,1,1,712.86
2583,4,2,13,536.47
1599,3,1,24,384.09
1310,5,2,57,305.06
2655,4,1,18,520.3
2310,5,2,15,530.75
1733,3,2,1,523.3
2669,1,1,47,386.14
1336,1,1,12,395.77
2335,3,1,24,463.97
1499,4,2,12,430.59
1533,2,1,23,339.14
2644,3,1,18,533.31
2313,2,3,7,527.49
2773,3,2,94,412.05
2179,2,1,14,457.43
1673,3,1,15,390.91
1404,3,1,4,424.02
1469,2,1,18,332.07
2221,2,1,34,412.7
1797,2,1,2,437.9
1422,4,2,35,332.72
1842,2,3,1,512.59
1438,4,1,13,409.62
1510,1,3,18,331.92
1935,2,3,46,361.92
2818,3,2,100,378.21
1943,3,1,30,357.53
1983,4,2,34,430.93
2086,2,2,47,367.22
1583,3,2,9,432.68
1682,3,3,24,363.53
912,2,2,29,282.74
2264,4,1,39,410.29
1983,4,2,1,531.29
1950,3,2,9,509.54
3006,2,2,1,678.3
1890,4,2,7,490.01
2530,4,3,32,500.51
3177,2,1,68,419.73
1607,3,1,100,274.7
1454,3,2,4,459.39
2142,3,2,62,395.25
1292,3,3,16,364.12
2702,2,1,9,525.01
1233,1,2,23,303.61
1699,2,2,13,399.12
2684,3,3,57,457.08
1504,2,1,2,404.4
1309,3,1,2,397.72
1452,3,1,35,315.83
2270,5,2,4,554.16
3268,2,1,38,504.96
2222,2,2,19,446.08
2026,4,1,17,453.87
3001,2,2,11,541.25
1406,2,2,49,325.72
1677,2,1,3,416.2
1836,1,2,4,493.68
2408,3,1,81,380.8
2505,3,1,21,493.27
2071,4,2,15,468.47
1951,3,1,28,390.32
2009,3,2,1,518.66
3085,4,2,4,677.97
1348,3,1,18,337.59
1496,4,1,34,373.84
2457,4,1,40,448.31
1857,3,2,0,517.92
2609,2,1,50,425.53
1230,4,1,3,410.15
2032,3,1,13,425.36
2404,4,2,61,411.0
1658,3,2,65,296.59
1773,3,2,23,428.89
1453,3,2,2,429.45
1596,5,1,2,516.86
2165,2,1,10,468.99
1506,2,2,15,356.3
2603,1,3,10,507.28
2764,2,2,12,537.66
2135,1,1,7,494.44
1847,4,1,49,379.91
1897,4,1,76,318.6
1470,1,2,0,400.22
1438,3,1,2,448.23
1979,3,1,8,467.0
2667,3,2,6,585.99
2287,3,1,36,447.61
2101,4,1,3,541.21
2487,3,1,19,511.18
1086,2,1,71,224.99
1220,5,3,16,420.87
1337,2,2,60,271.54
2383,3,1,8,541.76
1722,1,2,54,312.39
2263,3,2,7,511.59
1260,3,2,2,414.86
2877,4,2,4,680.64
2122,3,1,26,410.08
1191,3,1,24,326.98
2169,2,2,9,496.78
2091,3,3,51,407.11
1396,3,2,0,469.33
3174,5,2,12,685.03
2199,3,2,45,429.71
1975,3,1,30,365.6
1911,1,1,27,342.08
1292,1,1,24,280.04
1500,1,2,19,373.22
1618,2,2,42,332.39
2072,5,1,17,513.53
2065,4,1,37,369.87
1701,3,2,1,502.32
2250,3,2,11,525.24
2374,3,2,27,419.24
2172,3,2,100,374.44
2995,1,1,27,458.29
2223,3,1,10,447.53
2208,3,2,18,477.75
1615,1,1,12,393.94
1987,3,2,98,325.5
2174,3,1,2,567.7
2229,2,2,18,457.68
2002,3,2,41,375.61
1593,2,2,20,362.12
1436,3,3,8,455.46
2554,3,1,13,508.27
1917,4,1,15,472.23
2513,2,2,12,525.51
1961,2,2,4,500.49
1790,2,2,15,428.7
1969,2,1,21,386.03
2513,3,2,9,561.14
2022,1,1,12,416.21
2898,2,2,31,526.08
2469,2,1,4,526.78
1627,2,1,15,386.08
1496,2,3,3,442.19
1308,2,1,74,269.88
1977,3,1,62,338.44
1907,3,2,44,326.35
1517,2,1,58,270.36
1628,5,3,9,490.56
2058,3,2,5,504.08
1091,3,1,39,246.59
1526,5,1,3,466.73
1232,1,2,20,263.16
1489,3,2,12,395.03
1742,3,1,35,343.56
1818,2,1,54,336.56
2230,3,2,24,433.7
2420,3,3,38,453.97
1849,5,2,49,381.16
2092,3,1,19,439.76
1657,3,1,11,439.86
1802,2,3,11,489.75
500,2,3,27,224.92
1751,2,1,43,296.66
1886,2,1,25,364.54
1665,4,1,45,348.75
2010,4,2,12,491.88
1681,2,1,3,430.19
2456,4,2,8,583.68
1873,3,1,11,428.41
2099,3,1,3,537.8
2296,4,1,7,540.16
2876,2,2,100,365.63
1951,2,2,23,396.51
2149,1,1,68,305.8
1277,2,3,39,319.83
1749,2,3,4,446.34
2406,4,1,26,456.88
2395,3,1,1,579.82
2271,5,2,4,568.8
1849,2,2,21,393.93
2491,1,2,15,457.96
1366,3,1,12,366.59
1744,5,1,36,378.77
1564,1,1,56,282.92
2682,4,1,7,577.27
2477,2,1,4,576.44
1803,2,1,22,352.62
1651,3,2,33,347.64
1205,1,1,39,247.23
2054,5,1,16,474.49
1870,1,2,5,463.72
1374,1,2,49,256.17
2409,2,2,15,463.23
1638,3,1,8,436.51
1881,4,2,28,367.24
1299,5,1,2,492.87
1118,3,2,37,306.92
1914,2,1,2,491.56
2408,2,1,25,416.84
1838,2,1,1,491.35
1583,2,2,27,360.29
1488,4,2,12,400.51
2322,5,3,6,602.09
2643,3,2,3,627.55
2400,2,2,15,479.9
1679,2,1,5,431.84
2076,2,1,4,483.96
2849,5,2,35,534.16
960,3,1,8,335.16
2605,2,2,51,406.68
3043,3,2,20,533.22
1891,2,1,10,487.7
2345,3,2,13,513.4
2299,4,1,34,443.91
2679,1,1,18,500.26
2273,1,1,33,371.13
1596,3,2,5,452.81
1941,5,2,14,474.92
2761,1,2,0,625.52
2246,4,1,8,521.98
1889,4,1,1,487.69
1742,1,2,100,313.86
500,3,1,67,177.84
1933,2,3,28,395.51
1425,3,3,16,391.66
1295,3,2,7,382.08
2703,1,2,27,432.82
1898,4,1,11,470.96
2314,5,2,0,642.88
2681,3,1,18,499.94
2525,4,1,5,617.56
2166,5,2,45,432.66
2543,2,2,1,631.43
1431,2,1,17,374.05
1028,2,1,4,325.86
2947,4,2,55,427.64
1821,2,1,16,380.53
2663,3,1,52,403.66
2482,3,1,0,590.0
2631,1,1,17,471.45
1380,1,1,54,250.81
1669,3,2,27,349.29
2525,5,2,28,514.94
2944,4,2,3,688.83
1593,2,1,14,334.9
2322,3,2,10,500.4
1738,4,1,17,399.59
2105,3,1,23,405.2
2550,1,2,1,567.94
1837,5,1,8,460.79
2705,2,3,27,487.68
2568,3,1,15,534.51
1391,4,1,7,403.75
2309,3,1,9,499.82
786,4,2,8,355.35
2159,1,2,16,471.67
1652,2,1,1,433.69
1225,3,1,59,271.28
1953,2,2,23,399.51
2020,3,2,29,417.86
2092,3,1,2,559.09
1805,3,1,39,351.61
2314,4,2,100,385.94
2660,3,1,32,493.61
1495,3,1,1,411.4
2048,4,2,3,575.67
2284,5,1,59,396.51
1812,2,1,11,415.51
1241,1,2,8,332.88
2714,1,3,29,447.81
500,2,1,18,245.26
2556,4,1,23,473.01
1896,5,1,19,392.38
2107,3,2,20,448.12
1713,3,1,8,450.91
2596,2,1,7,551.38
2661,2,1,24,484.34
1355,2,2,4,384.22
1968,4,2,17,444.27
1713,1,3,0,466.78
1395,1,2,28,303.35
1716,1,1,46,328.43
2534,3,1,16,481.07
816,2,1,5,326.42
2337,4,2,100,388.47
1157,1,2,1,390.93
1730,3,2,8,446.55
1502,5,1,45,350.83
2124,3,3,16,474.41
2167,4,3,26,478.23
3125,1,2,38,470.72
1174,5,1,6,390.87
1860,4,2,14,467.23
1303,2,2,53,300.05
2438,2,3,8,534.38
2316,3,1,33,442.16
1403,4,1,1,468.24
2854,3,2,7,603.5
2267,4,2,29,437.86
1755,2,1,4,414.11
2726,4,1,67,429.0
2572,3,1,0,641.44
1272,3,1,5,409.13
1849,3,2,71,311.68
1601,5,1,8,437.69
658,3,1,6,315.94
2112,2,3,10,502.09
1760,4,3,5,473.61
1400,2,1,35,283.59
2120,3,2,9,535.13
1458,4,3,0,506.08
2203,3,1,42,392.55
2392,4,3,16,488.63
1377,3,2,2,410.26
2184,5,2,6,582.24
2617,2,3,7,605.7
1089,3,2,26,272.08
2836,3,1,25,497.51
2852,3,2,35,485.41
1656,2,2,16,422.55
1217,3,2,5,420.62
2053,4,2,27,466.67
1994,3,2,19,426.36
1286,5,2,3,441.23
1714,1,1,0,437.55
1623,2,3,0,526.64
2070,2,3,7,505.64
1212,2,3,65,276.7
2129,2,1,68,335.79
1109,1,1,2,341.94
2035,5,2,29,450.34
1571,5,1,1,484.4
1563,2,1,8,410.05
2654,4,2,0,677.77
2372,2,1,4,554.15
2301,2,1,4,527.29
2545,2,3,32,483.97
2091,4,1,36,426.88
2483,3,1,16,493.99
2479,3,1,36,426.51
1922,2,1,71,319.49
1687,5,1,61,330.3
2114,5,1,14,507.42
500,2,2,12,279.81
1823,3,1,59,309.78
1972,4,2,23,438.35
2511,5,1,16,567.99
2468,5,2,25,516.87
1144,2,2,12,388.19
1359,2,1,100,248.92
650,3,2,2,343.78
1500,3,1,3,454.31
1295,3,2,5,380.54
2996,2,1,50,471.62
500,5,1,54,223.32
1502,3,1,18,372.3
2617,2,2,6,560.31
1908,4,2,9,490.67
2084,5,2,27,480.61
2439,3,1,64,399.58
2838,5,2,13,625.33
2251,3,1,19,497.83
2238,3,2,51,352.8
2236,3,1,26,406.53
2012,4,1,3,542.25
1581,2,2,15,379.27
3196,3,1,99,429.75
2223,2,3,21,447.58
1324,3,2,37,310.59
2553,5,1,16,524.18
2024,3,2,0,525.88
1164,3,2,13,339.6
1833,5,2,1,568.34
2856,1,1,8,543.73
1978,2,1,11,423.0
2319,3,1,33,399.9
1623,3,3,28,366.84
1744,3,1,2,467.65
1917,2,1,7,466.86
1820,2,3,30,386.81
2842,4,2,52,465.01
860,4,1,6,356.26
1411,5,1,0,462.14
3127,1,1,17,539.62
1938,2,1,13,439.82
2279,1,2,9,472.32
2468,4,1,52,431.17
2573,4,1,29,449.15
1891,5,1,18,435.72
2284,2,2,37,385.06
1839,5,2,24,407.8
1998,2,1,7,451.54
1998,4,1,60,365.18
1696,2,1,28,334.44
2855,1,1,14,530.67
1296,3,1,1,443.03
2076,3,1,30,398.64
1055,3,1,25,279.68
1317,3,3,28,297.83
1473,3,1,47,276.15
1996,3,2,10,483.32
1570,3,2,6,416.91
1582,2,2,12,367.04
2234,3,1,20,422.99
1825,4,3,58,394.77
1677,3,1,2,489.38
2728,4,2,10,602.74
1533,3,1,3,439.31
1060,4,1,30,258.58
1592,2,1,20,349.13
1823,4,3,16,448.74
2389,1,3,0,555.35
2184,4,2,2,563.46
844,5,2,12,371.62
1321,4,1,3,409.89
2415,4,1,12,548.72
2889,3,1,6,620.03
1932,2,2,41,368.24
2454,5,3,7,570.07
2472,3,1,4,583.57
1160,1,2,2,372.39
2025,3,2,3,521.94
1600,3,2,12,407.63
2937,2,1,4,626.65
1455,3,1,19,351.06
1770,5,1,62,334.42
1999,3,2,13,495.28
1801,3,2,30,373.35
3108,3,1,36,464.28
1514,4,1,100,307.5
1960,2,3,1,486.08
1522,2,2,3,415.9
1609,2,1,1,431.78
2652,1,1,20,462.69
1011,4,2,35,286.94
1371,5,1,34,332.9
2048,2,1,2,556.29
2057,1,1,78,297.19
1087,4,2,31,305.21
2495,3,2,48,435.96
1470,4,1,9,444.53
2177,4,2,80,362.58
2784,2,1,20,514.12
838,5,1,63,256.58
1613,2,2,45,350.59
1360,1,2,2,396.98
2054,2,2,5,473.9
2383,3,1,1,564.54
2482,4,3,6,628.8
2008,3,2,97,330.97
1906,4,1,0,522.45
878,2,2,4,327.86
1915,1,2,16,386.51
1667,5,1,1,529.4
1515,3,1,20,383.29
2037,3,1,20,421.39
1241,5,2,10,412.85
1919,3,2,0,525.61
2559,4,2,5,629.46
2198,4,1,5,556.51
2099,4,2,14,502.1
3034,4,2,1,678.11
2070,3,2,40,408.42
2279,3,1,13,459.06
1554,1,1,1,435.07
1341,4,2,22,393.0
1405,3,2,3,427.4
1956,3,1,4,489.79
1481,2,1,0,455.52
1636,4,1,33,341.71
2854,5,1,9,599.09
2548,2,1,33,459.39
2132,4,2,3,568.88
1467,3,1,34,318.42
2635,3,3,23,479.9
1673,3,2,100,275.06
1620,3,2,37,353.56
1399,4,2,4,437.85
1488,4,2,11,418.67
1119,4,2,23,344.39
3033,2,2,18,540.9
2152,4,1,0,581.87
1761,3,1,33,343.72
2429,3,1,4,572.38
1792,4,2,100,332.51
2128,2,1,34,398.42
588,2,1,9,298.07
2199,3,2,9,535.78
1840,4,1,5,520.25
2998,3,2,1,666.2
2091,4,3,8,493.02
2139,5,2,55,409.4
835,5,1,5,347.66
2495,3,3,0,639.8
1023,4,1,6,380.07
2176,2,3,6,514.18
2225,2,1,5,478.41
2766,3,1,66,389.17
1273,2,2,6,338.41
1325,4,2,10,400.63
2993,5,2,4,671.3
1954,2,1,96,299.02
2630,3,1,9,534.64
587,2,2,8,259.98
2234,2,1,80,349.51
1576,3,1,100,267.49
1846,3,3,15,467.78
1309,3,3,16,367.32
1767,2,1,0,436.35
1617,1,1,19,377.82
3754,2,1,8,714.85
2314,4,1,52,425.76
2423,1,2,8,493.23
2143,3,1,24,453.81
1921,3,1,5,470.85
1448,2,2,0,461.87
2769,4,1,1,646.06
2281,5,1,0,607.33
1263,2,2,0,364.31
1782,5,1,7,470.26
3146,4,1,38,516.73
2345,1,1,7,478.36
1549,2,1,1,413.47
834,2,2,100,210.98
1037,3,2,2,411.01
1095,1,2,56,217.34
1931,2,2,20,441.53
1539,3,1,76,263.08
1836,4,2,29,417.25
1799,4,1,22,392.41
2096,2,1,16,434.8
2004,1,2,36,333.93
2777,5,3,40,506.61
2351,2,2,6,517.06
1750,3,1,16,372.73
2136,2,2,11,475.09
2405,1,1,42,370.87
2291,4,1,41,396.07
2214,3,1,9,523.16
1595,3,2,0,464.46
1623,3,2,33,385.85
2747,3,2,15,526.48
2748,2,1,4,612.27
2970,3,1,10,591.09
1562,2,1,31,319.77
1634,3,1,0,467.3
1474,3,1,23,320.93
2089,3,3,1,563.89
2297,2,1,21,504.07
2943,2,1,5,610.11
768,2,1,46,228.58
2448,4,1,82,419.0
1485,3,3,17,391.43
2183,3,1,15,471.51
968,2,1,31,266.35
2444,3,1,8,508.77
2112,3,2,8,513.27
1994,2,2,41,378.98
2335,4,3,21,491.85
2780,4,3,3,637.4
2486,2,1,17,502.29
1551,2,1,59,283.92
2805,1,1,14,509.39
1536,3,2,2,442.7
2740,5,1,8,642.86
2337,2,1,26,416.95
1631,3,2,8,428.73
2979,3,2,21,517.73
1578,1,1,13,388.39
1182,4,1,4,448.18
2488,1,1,19,424.18
1427,4,2,100,298.69
661,4,3,28,262.35
885,4,1,5,341.5
2133,4,1,12,484.01
1887,1,1,12,433.35
2344,5,1,67,429.16
2189,4,1,5,556.96
1939,4,1,0,525.44
2075,2,3,83,330.55
1842,3,2,46,322.53
1929,2,1,21,380.1
2117,2,2,9,497.78
3585,3,2,2,768.12
2271,2,3,1,553.87
1863,2,1,20,392.16
1440,2,1,3,432.21
1992,2,2,10,461.21
1560,4,1,36,345.24
1716,3,1,39,292.55
1457,3,2,43,351.53
1228,3,2,4,356.72
2537,2,2,20,505.5
1084,2,2,1,381.46
2265,2,2,10,478.37
1904,3,1,35,359.72
2757,1,1,3,578.26
1557,1,1,23,293.03
2433,5,2,5,569.42
2705,5,2,72,449.07
2637,2,2,24,515.7
1153,3,2,13,343.91
1696,3,1,23,379.5
1812,5,2,63,382.69
1583,4,2,1,474.61
822,5,2,1,376.7
2802,2,2,1,596.74
2173,3,2,0,543.62
1237,5,3,43,317.55
2451,4,1,19,532.11
2016,1,1,32,359.79
2267,3,2,22,488.66
1190,4,1,4,405.16
2064,4,2,28,435.88
785,3,3,16,325.11
2182,2,3,13,480.34
2099,1,2,28,371.92
1964,3,3,6,524.25
2023,3,1,1,529.39
1639,3,1,43,343.36
2379,4,2,0,619.73
1840,3,1,4,500.04
2401,4,2,48,432.98
1929,3,2,4,493.77
1886,2,1,52,333.07
3401,4,1,2,700.88
1509,2,2,29,336.81
2737,3,1,22,512.76
2401,2,1,1,543.56
1221,3,1,51,279.28
1586,5,2,4,506.04
3318,3,1,4,727.39
2604,3,3,18,513.38
502,2,2,28,239.64
2175,4,1,18,459.18
1690,2,1,22,349.34
1398,5,1,100,299.11
1838,2,1,24,366.65
1138,3,1,44,248.57
2017,4,1,0,556.4
2643,2,1,20,504.07
2320,5,1,69,405.01
1601,4,2,6,469.87
2238,2,2,34,428.19
1902,1,1,1,466.48
1943,5,2,5,527.08
2128,5,2,6,553.16
1547,3,1,25,357.98
1825,3,1,32,375.35
2126,2,2,11,454.34
973,3,1,18,331.99
1096,3,2,11,347.05
1864,3,1,18,430.69
2473,4,1,78,395.19
1495,1,1,8,345.23
2039,3,3,14,458.76
1858,3,1,15,419.96
1768,3,2,13,439.19
2371,5,2,25,489.25
3305,3,1,29,540.41
3268,3,2,14,614.88
2163,1,2,1,514.04
1806,3,1,46,342.72
1846,4,3,22,442.48
1153,5,1,58,299.23
2265,2,1,5,536.73
1085,2,2,3,356.05
1891,4,2,0,538.88
2409,2,3,39,377.35
1975,3,1,21,389.27
1577,3,2,51,371.98
1975,4,2,16,505.72
1571,1,1,73,274.4
3163,2,2,12,583.38
2675,2,2,14,552.81
2152,3,1,9,484.21
2499,4,1,20,530.22
2381,3,2,0,586.99
2362,2,2,20,446.03
1703,3,3,22,398.36
1457,3,2,100,287.13
1351,4,3,9,419.3
2221,3,2,2,544.63
2369,3,2,2,609.5
2505,2,2,27,418.75
1437,4,3,52,341.07
2220,3,1,21,456.95
2028,3,2,1,521.71
1573,1,1,3,413.91
2632,3,1,15,504.85
2991,2,3,7,641.2
1818,5,1,100,306.12
2189,2,1,6,489.15
2415,2,2,6,539.94
2592,3,2,0,615.08
2516,5,2,26,533.37
1548,1,1,1,394.93
3056,3,2,62,474.3
1732,2,2,1,484.91
2402,2,2,23,492.94
2493,3,2,9,578.79
1954,3,1,10,467.8
2315,3,2,5,544.19
1867,3,2,49,358.75
1968,3,2,17,439.53
1790,1,2,25,358.15
1557,3,1,18,387.8
1678,1,1,38,313.04
2313,3,3,8,564.5
1046,2,1,23,272.18
1354,4,2,1,481.3
2440,3,1,54,401.46
1529,3,1,10,412.49
2169,2,1,76,321.05
1429,3,1,23,393.17
1436,3,1,23,358.8
1438,2,2,0,465.23
1903,5,3,100,396.03
2325,3,1,37,409.67
1269,3,2,39,298.51
1458,2,2,17,355.88
2005,4,3,67,377.71
1843,3,1,31,421.08
1871,1,2,15,431.54
2530,3,2,6,568.61
2783,3,3,15,592.67
1980,4,1,26,411.05
3961,1,2,15,664.79
3091,5,1,29,548.17
1368,1,1,56,236.69
2474,4,3,7,598.97
1714,3,2,8,452.1
2695,5,1,44,436.34
2070,5,1,45,400.14
2153,5,2,18,516.58
2649,4,2,17,545.4
2515,3,2,6,566.65
2137,3,1,12,465.76
1849,4,1,68,336.7
1807,3,1,5,451.17
1036,3,1,33,265.4
2011,1,2,24,384.13
2210,4,1,2,552.03
1148,4,2,29,302.62
1766,2,1,19,382.08
1116,4,1,1,422.82
986,3,1,81,253.93
1581,4,1,14,395.48
1924,4,2,49,376.92
2563,4,2,42,446.85
2499,4,1,87,346.5
1320,4,1,31,368.84
741,5,1,17,287.75
1862,2,2,12,440.05
2734,3,1,34,446.32
1464,3,1,77,268.26
1919,3,1,19,400.14
2197,4,1,54,356.08
2101,5,2,81,389.48
768,4,1,2,368.06
1627,3,2,27,392.83
2254,4,1,11,537.04
1999,3,1,5,486.18
2502,3,2,41,403.26
1284,2,2,2,389.63
3036,5,3,10,657.58
2167,3,2,90,300.31
2597,1,1,8,505.63
3183,4,1,45,487.8
2183,2,2,4,554.72
1919,4,1,12,484.0
2488,5,2,41,489.87
